"","Total"
"writing",329
"studies",154
"media",144
"rhetoric",135
"composition",133
"english",112
"students",105
"communication",103
"digital",84
"university",79
"visual",69
"wac",67
"technical",65
"can",61
"also",59
"college",55
"study",46
"teaching",46
"courses",44
"information",44
"literature",44
"new",43
"theory",40
"waw",38
"technology",36
"academic",35
"downs",35
"research",34
"audience",32
"disciplines",32
"first",32
"course",31
"language",31
"major",31
"rhetorical",31
"across",30
"curriculum",30
"ideas",30
"programs",30
"work",30
"online",29
"way",29
"write",29
"first-year",28
"many",28
"may",28
"universities",28
"field",27
"often",27
"one",27
